,Date,Time,Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW),Wind Speed (m/s),Temperature (K),Pressure (Pa),Roughness_length (m)
6329,2018-09-27,09:00:00,1394.46058292565,47.800319671630795,1579.35302734375,7.757727146148679,288.11,101132.0,0.15
6330,2018-09-27,10:00:00,2108.6768350571697,35.0026893615722,2087.91088867187,8.945124626159659,287.12,101174.0,0.15
6331,2018-09-27,11:00:00,1615.99474736552,37.8755493164062,1698.96105957031,8.14823818206787,286.88,101220.0,0.15
6332,2018-09-27,12:00:00,3556.81604481432,39.663791656494105,3482.19409179687,12.2608995437622,286.81,101247.0,0.15
6333,2018-09-27,13:00:00,3443.6898336182007,41.107570648193295,3347.416015625,11.591819763183501,286.54,101248.0,0.15
6334,2018-09-27,14:00:00,3281.7946391140804,46.91255187988279,3132.02490234375,11.026720046997001,285.99,101237.0,0.15
6335,2018-09-27,15:00:00,3589.78215191856,50.3614196777343,3482.39501953125,12.672630310058501,284.93,101231.0,0.15
6336,2018-09-27,16:00:00,3367.1624478692493,48.96799850463861,3028.48803710937,11.2957401275634,284.2,101240.0,0.15
6337,2018-09-27,17:00:00,3468.5823809532008,59.154048919677706,3322.06298828125,11.7057199478149,283.49,101249.0,0.15
6338,2018-09-27,18:00:00,2829.5108539798,52.6063117980957,2667.5859375,10.0611000061035,282.96,101263.0,0.15
6339,2018-09-27,19:00:00,3432.5111597721802,64.0861663818359,3113.7900390625,11.5440301895141,282.59,101290.0,0.15
6340,2018-09-27,20:00:00,3472.03234803391,68.96954345703121,3177.47412109375,11.7224397659301,282.2,101318.0,0.15
6341,2018-09-27,21:00:00,3168.67389306397,64.83991241455071,2890.36401367187,10.7303104400634,281.84,101338.0,0.15
6342,2018-09-27,22:00:00,2848.60827183701,59.4216194152832,2517.791015625,10.0930404663085,281.85,101342.0,0.15
6343,2018-09-27,23:00:00,2187.67435347638,51.457511901855405,2004.0329589843695,9.067625045776358,282.98,101338.0,0.15
6344,2018-09-28,00:00:00,2146.00209660966,51.5591506958007,2250.16088867187,9.003119468688961,284.98,101326.0,0.15
6345,2018-09-28,01:00:00,2919.75030760635,52.2141304016113,2691.80590820312,10.216890335082999,287.1,101299.0,0.15
6346,2018-09-28,02:00:00,3164.78142372375,58.31391906738279,3027.48510742187,10.721010208129801,289.04,101248.0,0.15
6347,2018-09-28,03:00:00,3169.6122441219395,66.5312728881835,2895.8349609375,10.7325601577758,290.51,101182.0,0.15
6348,2018-09-28,04:00:00,3128.5952713555,62.19503021240229,2852.27490234375,10.6369104385375,291.52,101116.0,0.15
6349,2018-09-28,05:00:00,3143.6777558575604,61.2602882385253,2794.1640625,10.671460151672301,292.03,101045.0,0.15
6350,2018-09-28,06:00:00,2717.21284136199,58.466480255126896,2477.412109375,9.88304615020751,292.15,100980.0,0.15
6351,2018-09-28,07:00:00,3102.95523174576,59.963878631591705,2905.57690429687,10.579719543457001,291.93,100930.0,0.15
6352,2018-09-28,08:00:00,3531.449068311071,64.68023681640621,3447.4951171875,12.0632801055908,291.0,100903.0,0.15
6353,2018-09-28,09:00:00,3573.93764185073,61.3666496276855,3518.9560546875,12.434869766235304,289.33,100898.0,0.15
6354,2018-09-28,10:00:00,3396.1589348130296,60.0899505615234,3166.27001953125,11.400159835815401,287.99,100902.0,0.15
6355,2018-09-28,11:00:00,2584.3485839868304,59.2284812927246,2376.61010742187,9.69077396392822,286.95,100904.0,0.15
6356,2018-09-28,12:00:00,2184.94216097087,60.267608642578104,2046.50305175781,9.063403129577633,286.05,100878.0,0.15
6357,2018-09-28,13:00:00,3017.5268718913,61.5780410766601,2576.75,10.4015302658081,285.18,100832.0,0.15
6358,2018-09-28,14:00:00,2707.5684221084807,63.94858932495111,2272.69409179687,9.8684663772583,284.55,100765.0,0.15
6359,2018-09-28,15:00:00,1549.2122384756,66.6049728393554,1401.56005859375,8.03345394134521,283.92,100712.0,0.15
6360,2018-09-28,16:00:00,1606.10007486147,73.60003662109371,1407.73095703125,8.131369590759268,283.46,100665.0,0.15
6361,2018-09-28,17:00:00,485.636447921005,82.5507736206054,560.418884277343,5.55730390548706,283.0,100609.0,0.15
6362,2018-09-28,18:00:00,593.1937835867669,149.833099365234,465.71499633789,5.9043550491333,282.6,100572.0,0.15
6363,2018-09-28,19:00:00,112.345249297626,173.077697753906,49.978019714355405,3.91548895835876,282.25,100539.0,0.15
6364,2018-09-28,20:00:00,127.80155343152501,154.626403808593,66.2433319091796,3.99896597862243,281.85,100509.0,0.15
6365,2018-09-28,21:00:00,135.714713807231,180.603103637695,101.788299560546,4.06792593002319,281.49,100471.0,0.15
6366,2018-02-10,17:00:00,21.2486486975222,303.482696533203,0.0,3.1249740123748704,281.56,100430.0,0.15
6367,2018-02-10,18:00:00,0.0,338.047393798828,0.0,1.15122497081756,282.94,100386.0,0.15
6368,2018-03-10,15:00:00,0.0,225.75120544433497,0.0,0.787484526634216,285.35,100321.0,0.15
6369,2018-03-10,16:00:00,0.0,290.525604248046,0.0,2.37747001647949,287.87,100250.0,0.15
6370,2018-03-10,17:00:00,945.0048578996319,238.486297607421,793.294921875,6.8387107849121,290.12,100169.0,0.15
6371,2018-03-10,18:00:00,625.172220666477,249.920501708984,494.050689697265,6.003493785858152,291.98,100083.0,0.15
6372,2018-03-10,19:00:00,571.953552276959,263.751098632812,443.550506591796,5.83881282806396,293.24,100002.0,0.15
6373,2018-03-10,20:00:00,274.530723960736,283.891998291015,240.65469360351503,4.739688873291009,294.01,99932.2,0.15
