,Date,Time,Temperature (K),Wind_speed (m/s),Pressure (Pa),Roughness_length (m)
205,2018-01-09,14:00:00,267.58,10.745999999999999,99794.1,0.15
206,2018-01-09,15:00:00,267.35,10.77628,99767.9,0.15
207,2018-01-09,16:00:00,267.05,10.18941,99712.0,0.15
208,2018-01-09,17:00:00,266.8,10.08995,99680.1,0.15
209,2018-01-09,18:00:00,266.65,10.60605,99664.9,0.15
210,2018-01-09,19:00:00,266.64,9.52213,99665.3,0.15
211,2018-01-09,20:00:00,266.58,9.71776,99653.3,0.15
212,2018-01-09,21:00:00,266.54,9.714030000000001,99622.2,0.15
213,2018-01-09,22:00:00,266.57,8.89489,99600.6,0.15
214,2018-01-09,23:00:00,266.61,8.15267,99594.9,0.15
215,2018-01-09,00:00:00,266.69,7.895789999999999,99605.2,0.15
216,2018-01-10,01:00:00,266.78,7.917000000000001,99621.9,0.15
217,2018-01-10,02:00:00,266.8,7.74828,99644.8,0.15
218,2018-01-10,03:00:00,266.85,7.665019999999999,99668.3,0.15
219,2018-01-10,04:00:00,266.88,7.4996100000000006,99685.7,0.15
220,2018-01-10,05:00:00,266.89,7.71143,99695.5,0.15
221,2018-01-10,06:00:00,266.88,7.23305,99706.8,0.15
222,2018-01-10,07:00:00,266.89,7.0298,99729.9,0.15
223,2018-01-10,08:00:00,266.92,6.19868,99758.5,0.15
224,2018-01-10,09:00:00,266.98,6.60013,99796.5,0.15
225,2018-01-10,10:00:00,267.18,6.13344,99834.5,0.15
226,2018-01-10,11:00:00,267.52,6.661510000000001,99852.9,0.15
227,2018-01-10,12:00:00,267.79,6.18605,99881.4,0.15
228,2018-01-10,13:00:00,267.95,5.864,99929.9,0.15
229,2018-01-10,14:00:00,267.94,5.40054,99981.7,0.15
230,2018-01-10,15:00:00,267.91,4.3139400000000006,100030.0,0.15
231,2018-01-10,16:00:00,267.87,4.0980099999999995,100077.0,0.15
232,2018-01-10,17:00:00,267.82,3.9844199999999996,100111.0,0.15
233,2018-01-10,18:00:00,267.84,4.2325,100134.0,0.15
234,2018-01-10,19:00:00,267.86,3.84785,100154.0,0.15
235,2018-01-10,20:00:00,267.91,4.070119999999999,100171.0,0.15
236,2018-01-10,21:00:00,267.89,3.5346699999999998,100181.0,0.15
237,2018-01-10,22:00:00,267.95,3.64391,100182.0,0.15
238,2018-01-10,23:00:00,267.93,4.54474,100189.0,0.15
239,2018-01-10,00:00:00,267.95,4.10934,100207.0,0.15
240,2018-01-11,01:00:00,268.03,3.7795199999999998,100233.0,0.15
241,2018-01-11,02:00:00,268.04,3.8864900000000002,100252.0,0.15
242,2018-01-11,03:00:00,268.09,4.07226,100253.0,0.15
243,2018-01-11,04:00:00,268.07,4.0267,100253.0,0.15
244,2018-01-11,05:00:00,268.1,4.43611,100260.0,0.15
245,2018-01-11,06:00:00,268.17,4.01469,100264.0,0.15
246,2018-01-11,07:00:00,268.17,4.11722,100258.0,0.15
247,2018-01-11,08:00:00,268.23,4.05244,100252.0,0.15
248,2018-01-11,09:00:00,268.25,4.57051,100259.0,0.15
249,2018-01-11,10:00:00,268.61,4.6757599999999995,100257.0,0.15
250,2018-01-11,11:00:00,269.08,4.76855,100248.0,0.15
251,2018-01-11,12:00:00,269.4,4.82799,100238.0,0.15
252,2018-01-11,13:00:00,269.73,4.41769,100236.0,0.15
253,2018-01-11,14:00:00,269.94,4.209169999999999,100258.0,0.15
254,2018-01-11,15:00:00,269.97,4.22653,100295.0,0.15
255,2018-01-11,16:00:00,269.81,3.5036199999999997,100316.0,0.15
256,2018-01-11,17:00:00,269.51,4.277019999999999,100345.0,0.15
257,2018-01-11,18:00:00,269.3,4.34866,100378.0,0.15
258,2018-01-11,19:00:00,269.12,4.58246,100403.0,0.15
259,2018-01-11,20:00:00,268.6,4.21547,100419.0,0.15
260,2018-01-11,21:00:00,268.13,4.16308,100436.0,0.15
261,2018-01-11,22:00:00,267.78,4.48118,100442.0,0.15
262,2018-01-11,23:00:00,267.56,4.16138,100474.0,0.15
263,2018-01-11,00:00:00,267.31,4.3403,100508.0,0.15
264,2018-01-12,01:00:00,267.0,4.1814800000000005,100541.0,0.15
265,2018-01-12,02:00:00,266.58,4.63741,100583.0,0.15
266,2018-01-12,03:00:00,266.35,5.054180000000001,100622.0,0.15
267,2018-01-12,04:00:00,266.14,4.33651,100630.0,0.15
268,2018-01-12,05:00:00,265.81,4.66044,100626.0,0.15
269,2018-01-12,06:00:00,265.56,4.701309999999999,100620.0,0.15
270,2018-01-12,07:00:00,265.24,4.31427,100627.0,0.15
271,2018-01-12,08:00:00,264.91,4.41276,100640.0,0.15
272,2018-01-12,09:00:00,264.66,3.7715099999999997,100618.0,0.15
273,2018-01-12,10:00:00,264.99,4.562819999999999,100577.0,0.15
274,2018-01-12,11:00:00,265.52,4.4543800000000005,100534.0,0.15
275,2018-01-12,12:00:00,265.95,4.14613,100501.0,0.15
276,2018-01-12,13:00:00,266.22,3.80996,100474.0,0.15
277,2018-01-12,14:00:00,266.17,4.08521,100440.0,0.15
278,2018-01-12,15:00:00,265.84,4.78913,100410.0,0.15
279,2018-01-12,16:00:00,265.34,4.83281,100397.0,0.15
280,2018-01-12,17:00:00,264.69,5.05853,100383.0,0.15
281,2018-01-12,18:00:00,264.31,4.68099,100355.0,0.15
282,2018-01-12,19:00:00,264.05,4.7012599999999996,100317.0,0.15
283,2018-01-12,20:00:00,263.88,4.66999,100275.0,0.15
284,2018-01-12,21:00:00,263.71,5.30668,100233.0,0.15
285,2018-01-12,22:00:00,263.6,5.84234,100178.0,0.15
286,2018-01-12,23:00:00,263.64,5.33555,100115.0,0.15
287,2018-01-12,00:00:00,263.62,5.57344,100070.0,0.15
288,2018-01-13,01:00:00,263.81,5.93703,100039.0,0.15
289,2018-01-13,02:00:00,263.88,6.09739,100013.0,0.15
290,2018-01-13,03:00:00,263.9,5.66984,99993.8,0.15
291,2018-01-13,04:00:00,263.86,5.7785,99980.8,0.15
292,2018-01-13,05:00:00,263.81,5.54098,99957.5,0.15
293,2018-01-13,06:00:00,263.91,6.35851,99919.9,0.15
294,2018-01-13,07:00:00,263.88,5.7032099999999994,99874.7,0.15
295,2018-01-13,08:00:00,263.81,6.225969999999999,99845.7,0.15
296,2018-01-13,09:00:00,263.9,6.16982,99820.4,0.15
297,2018-01-13,10:00:00,264.14,5.84256,99790.0,0.15
298,2018-01-13,11:00:00,264.79,6.55385,99774.5,0.15
299,2018-01-13,12:00:00,265.55,6.81876,99785.2,0.15
300,2018-01-13,13:00:00,266.24,6.9112800000000005,99804.1,0.15
301,2018-01-13,14:00:00,266.63,6.62185,99811.2,0.15
302,2018-01-13,15:00:00,266.72,7.10296,99819.3,0.15
303,2018-01-13,16:00:00,266.39,7.3554699999999995,99822.4,0.15
304,2018-01-13,17:00:00,265.95,6.773039999999999,99845.3,0.15
305,2018-01-13,18:00:00,265.52,6.95062,99852.5,0.15
306,2018-01-13,19:00:00,265.12,6.860360000000001,99857.5,0.15
307,2018-01-13,20:00:00,264.71,6.45328,99870.1,0.15
308,2018-01-13,21:00:00,264.36,6.6585399999999995,99870.1,0.15
309,2018-01-13,22:00:00,263.94,6.11801,99855.2,0.15
310,2018-01-13,23:00:00,263.59,5.72693,99840.3,0.15
311,2018-01-13,00:00:00,263.19,5.77396,99840.6,0.15
312,2018-01-14,01:00:00,262.9,5.7288,99845.1,0.15
313,2018-01-14,02:00:00,262.57,5.2605900000000005,99838.9,0.15
314,2018-01-14,03:00:00,262.37,5.36109,99834.3,0.15
315,2018-01-14,04:00:00,262.18,5.10659,99859.5,0.15
316,2018-01-14,05:00:00,261.97,5.00758,99872.1,0.15
317,2018-01-14,06:00:00,261.88,5.26865,99875.7,0.15
318,2018-01-14,07:00:00,261.82,5.1149,99887.1,0.15
319,2018-01-14,08:00:00,261.7,5.30361,99906.6,0.15
320,2018-01-14,09:00:00,261.69,4.7184800000000005,99918.7,0.15
321,2018-01-14,10:00:00,262.01,5.29113,99908.6,0.15
322,2018-01-14,11:00:00,262.63,4.8619900000000005,99895.7,0.15
323,2018-01-14,12:00:00,263.44,5.04764,99895.1,0.15
324,2018-01-14,13:00:00,264.07,5.05889,99897.1,0.15
325,2018-01-14,14:00:00,264.43,4.8750800000000005,99910.3,0.15
326,2018-01-14,15:00:00,264.45,5.5669900000000005,99958.6,0.15
327,2018-01-14,16:00:00,264.12,5.5815,100018.0,0.15
328,2018-01-14,17:00:00,263.73,5.25389,100062.0,0.15
329,2018-01-14,18:00:00,263.42,5.54459,100102.0,0.15
330,2018-01-14,19:00:00,263.18,5.51107,100154.0,0.15
331,2018-01-14,20:00:00,262.99,4.79935,100209.0,0.15
332,2018-01-14,21:00:00,262.79,4.76922,100256.0,0.15
333,2018-01-14,22:00:00,262.56,5.0725,100301.0,0.15
334,2018-01-14,23:00:00,262.38,4.51786,100348.0,0.15
335,2018-01-14,00:00:00,262.27,4.67154,100405.0,0.15
336,2018-01-15,01:00:00,262.19,4.10114,100470.0,0.15
337,2018-01-15,02:00:00,262.09,4.6521099999999995,100537.0,0.15
338,2018-01-15,03:00:00,262.07,4.91133,100603.0,0.15
339,2018-01-15,04:00:00,261.98,4.71514,100672.0,0.15
340,2018-01-15,05:00:00,261.98,4.7446,100756.0,0.15
341,2018-01-15,06:00:00,261.99,4.59366,100841.0,0.15
342,2018-01-15,07:00:00,262.05,3.71441,100917.0,0.15
343,2018-01-15,08:00:00,262.06,3.99359,100983.0,0.15
344,2018-01-15,09:00:00,262.03,3.78133,101042.0,0.15
345,2018-01-15,10:00:00,262.38,4.221430000000001,101072.0,0.15
